title,price,description,Año de fabricación,Kilometraje,Transmisión,Combustible,Cilindrada,Placa,Categoría,Marca,Modelo,Número de puertas,Tracción,Color,Número cilindros
Mercedes Benz C-180 2018,26900.0,"Av. Javier Este 5550, La Molina

Automotores Gildemeister en su división de Seminuevos Premium ofrece esta unidad . Adquiere este vehículo con toda la seguridad y el respaldo que te brinda el Grupo Gildemeister en nuestra tienda ubicada en Av. Javier...Ver más",2017,13300.0,Automática,Gasolina,2000.0,Impar,Sedan,Mercedes Benz,C-180,4,,Azul,4
Toyota Rush 2022,23000.0,"TOYOTA RUSH full equipo, automatico, encendido engine star, cilindrada 1.496, cuenta con 7 asientos, 3 filas de aientos, la ultima fila es rebatible, brindando mucha capacidad de carga, vehiculo en excelente estado, año de farbicacion 2021, modelo 20...Ver más",2021,16000.0,Automática,Gasolina,1496.0,Par,Camionetas Suv,Toyota,RUSH,5,,,
Kia Sportage 2014,14990.0,AUTOLAND SEMINUEVOS; MAS DE 200 AUTOS EN STOCK; ENTREGA INMEDIATA; * OFRECEMOS; KILOMETRAJE REAL Y GARANTIZADO; TRANSFERENCIA SEGURA; PRECIO NEGOCIABLE; PAGOS CON TARJETA CREDITO O DEBITO; PLANES DE FINANCIAMIENTO; DEJA TU AUTO COMO PARTE DE PAGO. PA...Ver más,2013,85838.0,Automática,Gasolina,1998.0,Impar,Camionetas Suv,Kia,SPORTAGE,4,4x2,Plata,4
Ford Explorer 2020,49000.0, VERSION LÍMITED PRECIO NEGOCIABLE/vehículo Impecable y conservado UNICO DUEÑO - TRATAMIENTO CERAMICO Y LUNAS POLARIZADAS Motor a gasolina (EcoBoost) 2.3 litros TURBO de 4 cilindros con potencia de 300 HP / 5.000 RPM y 420 NM de Torque - Transmisión Ver más,2020,34000.0,Automática - Secuencial,Gasolina,2300.0,Par,Camionetas Suv,Ford,EXPLORER,,4x4,,
Haval H6 2019,19000.0,"Vehículo en excelente estado, documentos en regla. Disponible en Av. Evitamiento 1700, Ate. Cuenta con cámara de retroceso.",2019,39986.0,Automática,Gasolina,2000.0,Impar,Camionetas Suv,Haval,H6,,4x2,Blanco,
Changan Cx70 2019,14000.0,"SUV EN BUENAS CONDICIONES, TRANSMISIÓN MECÁNICA, MOTOR 1,600, SENSORES DE ESTACIONAMIENTO, FAROS NEBLINEROS, DOCUMENTOS EN REGLA. DISPONIBILIDAD INMEDIATA EN LA AV. VÍA EVITAMIENTO 1700 ATE.",2018,47832.0,Mecánica,Gasolina,1600.0,Impar,Camionetas Suv,Changan,CX70,5,4x2,Gris platino,
Hyundai I30 2014,14490.0,AUTOLAND SEMINUEVOS; MAS DE 200 AUTOS EN STOCK; ENTREGA INMEDIATA; * OFRECEMOS; KILOMETRAJE REAL Y GARANTIZADO; TRANSFERENCIA SEGURA; PRECIO NEGOCIABLE; PAGOS CON TARJETA CREDITO O DEBITO; PLANES DE FINANCIAMIENTO; DEJA TU AUTO COMO PARTE DE PAGO. PA...Ver más,2014,68233.0,Automática,Gasolina,1797.0,Impar,Hatchback,Hyundai,i30,4,Delantera,Blanco,4
Kia Rio 2019,15900.0,"Kia Rio Hatchback Sport
Automático
Año 2019
21,000 km
Motor 1.4 
Lunas polarizadas
Única dueña",2018,21000.0,Automática - Secuencial,Gasolina,1368.0,Par,Hatchback,Kia,RIO,5,4x2,Gris platino,4
Mazda 3 Sport 2018,16400.0,"MAZDA 3 SPORT HB 2.0 ++ AUTOMÁTICO ++ FULL EQUIPO ++ SUNROOF ELECTRICO ++ KMS: 55,600 ++ MANT. RECIÉN REALIZADO ++ MUYBIEN CONSERVADO ++ CAMARA DE RETROCESO ++ SENSOR DE LLUVIA ++ 02 LLAVES INTELIGENTES ORIGINALES ++ AROS, TAMBORES, PARRILLA Y EMBLEM...Ver más",2017,55600.0,Automática - Secuencial,Gasolina,2000.0,Impar,Hatchback,Mazda,3 SPORT,5,4x2,Negro,4
Toyota 4runner 2017,43000.0,"CAMIONETA EN EXCELENTE ESTADO, UNICO DUEÑO, FULL EQUIPO, LUNAS Y PESTILLOS ELECTRONICO.",2017,50146.0,Automática - Secuencial,Gasolina,3956.0,Impar,Camionetas Suv,Toyota,4RUNNER,5,4x4,Gris Oscuro,6
Nissan Sentra 2016,13490.0,AUTOLAND SEMINUEVOS; MAS DE 200 AUTOS EN STOCK; ENTREGA INMEDIATA; * OFRECEMOS; KILOMETRAJE REAL Y GARANTIZADO; TRANSFERENCIA SEGURA; PRECIO NEGOCIABLE; PAGOS CON TARJETA CREDITO O DEBITO; PLANES DE FINANCIAMIENTO; DEJA TU AUTO COMO PARTE DE PAGO. PA...Ver más,2015,59000.0,Automática,Gasolina,1798.0,Impar,Sedan,Nissan,SENTRA,4,Delantera,Gris Metálico,4
Bmw 418i 2021,34000.0,"BMW 418i GRAN COUPE 2020 FULL EQUIPO
 Automàtico secuencial
Full equipo, Sunroof . 
Transmisión automática Steptronic de 8 velocidades
(04) modos de manejo, eco, confort, Sport, Super Sport.
Lunas eléctricas polarizadas, Sensores de parqueo post...Ver más",2020,18600.0,Automática - Secuencial,Gasolina,1500.0,Impar,Sedan,Bmw,418i,4,Delantera,Blanco nieve,4
Jeep Grand Cherokee Laredo 2014,26900.0,"Único dueño, prácticamente nuevo, historial mantenimiento en Divemotor verlo en San Isidro.",2014,26929.0,Automática,Gasolina,3600.0,Par,Camionetas Suv,Jeep,GRAND CHEROKEE LAREDO,5,4x2,Blanco,6
Toyota Yaris 2017,11500.0,"AUTOESPAR te ofrece el automóvil seminuevo TOYOTA YARIS AÑO 2017 con toda la seguridad y el respaldo que nos caracteriza. Para mayor información sobre las especificaciones, envíanos un mensaje desde esta plataforma para contactarnos contigo. #SomosAu...Ver más",2017,25107.0,Mecánica,Gasolina,1300.0,Par,Sedan,Toyota,YARIS,4,4x2,Gris Oscuro,4
Subaru Legacy 2015,16900.0,"Subaru Legacy 2.5 motor bóxer tracción AWD 2015 full equipo 54 mil de kilometraje, mantenimientos al dia hasta los 56mil kilómetros, caja automática secuencial con paddle shift, modo de manejo Intelligent y Sport, sistema multimedia de 10” con Apple Ver más",2015,54000.0,Automática - Secuencial,Gasolina,2500.0,Impar,Sedan,Subaru,LEGACY,5,AWD,Gris Oscuro,4
Kia Sorento 2016,22990.0,"KIA SORENTO 2016, KM 44,500, GASOLINA, TRES FILAS, SUNROOF,CAMARARETROCESO // LOS VEHÍCULOS SON REVISADOS AL 100% EN NUESTROS TALLERES, INCLUYE TRATAMIENTO DE PINTURA, LAVADO DE SALÓN Y SANITIZACION, ADEMAS LOS TRAMITES NOTARIALES SON COMPLETAMENTE G...Ver más",2015,44500.0,Automática - Secuencial,Gasolina,2398.0,Par,Camionetas Suv,Kia,SORENTO,5,4x2,Gris Metálico,4
Mg Hs 2022,25990.0,"MG HS TROPHY 2022, KM 6800, GARANTÍA VIGENTE, GASOLINA, CUERO, ASIENTOS ELECTRICOS, SUNROOF //LOS VEHÍCULOS SON REVISADOS AL 100% EN NUESTROS TALLERES, INCLUYE TRATAMIENTO DE PINTURA, LAVADO DE SALÓN Y SANITIZACION, ADEMAS LOS TRAMITES NOTARIALES SON...Ver más",2022,6800.0,Automática - Secuencial,Gasolina,1995.0,Impar,Camionetas Suv,Mg,HS,5,4x2,Rojo,4
Mg Mg Zx 2022,21990.0,"MG ZX PLUS TROPHY 2022, KM 4200, GARANTÍA VIGENTE, GASOLINA, CAMARA 360°, CUERO, ASIENTOS ELECTRICOS, SUNROOF //LOS VEHÍCULOS SON REVISADOS AL 100% EN NUESTROS TALLERES, INCLUYE TRATAMIENTO DE PINTURA, LAVADO DE SALÓN Y SANITIZACION, ADEMAS LOS TRAMI...Ver más",2022,4300.0,Automática - Secuencial,Gasolina,1349.0,Impar,Camionetas Suv,Mg,MG ZX,5,4x2,Blanco,4
Hyundai Elantra 1997,5950.0,"AUTO EN EXCELENTE ESTADO, TOTALMENTE REPARADO Y BUEN MANTENIMIENTO, VENTA POR VIAJE, INFORMES AL WHATSUP [****]",1997,160000.0,Mecánica,Gasolina,1800.0,Par,Sedan,Hyundai,ELANTRA,5,Posterior,Verde,4
Geely Gx3 2021,12500.0,"Av. La Marina 3397 – San Miguel (Ref. cruce con Faucett).

Automotores Gildemeister en su división de Seminuevos ofrece esta unidad . Adquiere este vehículo con toda la seguridad y el respaldo que te brinda el Grupo Gildemeister en nuestra tienda u...Ver más",2021,60934.0,Mecánica,Gas GLP,1500.0,Par,Camionetas Suv,Geely,GX3,5,,Blanco,4
